name,id,uri
QUEST DIAGNOSTICS INCORPORATED,https://rdf.gleif.org/L1/L-8MCWUBXQ0WE04KMXBX50,https://company.org/resource/Quest%20Diagnostics%20Incorporated
ELI LILLY AND COMPANY,https://rdf.gleif.org/L1/L-FRDRIPF3EKNDJ2CQJL29,https://company.org/resource/Eli%20Lilly%20and%20Company
"Best Buy Co., Inc.",https://rdf.gleif.org/L1/L-HL5XPTVRV0O8TUN5LL90,https://company.org/resource/Best%20Buy%20Co.%20Inc.
BERKSHIRE HATHAWAY INC.,https://rdf.gleif.org/L1/L-5493000C01ZX7D35SD85,https://company.org/resource/Berkshire%20Hathaway%20Inc.
Rite Aid Corporation,https://rdf.gleif.org/L1/L-529900W353T1JY1DKT44,https://company.org/resource/Rite%20Aid%20Corporation
"Chipotle Mexican Grill U.S. Finance Co., LLC",https://rdf.gleif.org/L1/L-5493007DZOMUBASCBX97,https://company.org/resource/Chipotle%20Mexican%20Grill%2C%20Inc.
AMERICAN EXPRESS COMPANY,https://rdf.gleif.org/L1/L-R4PP93JZOLY261QX3811,https://company.org/resource/American%20Express%20Company
Suncor Energy Inc.,https://rdf.gleif.org/L1/L-3XCBVWUPHGBZ5GF7TY15,https://company.org/resource/Suncor%20Energy%20Inc.
CDW CORPORATION,https://rdf.gleif.org/L1/L-9845001B052ABF0B6755,https://company.org/resource/CDW%20Corporation
"BLACKROCK, INC.",https://rdf.gleif.org/L1/L-549300LRIF3NWCU26A80,https://company.org/resource/BlackRock%2C%20Inc.
Enbridge Inc.,https://rdf.gleif.org/L1/L-98TPTUM4IVMFCZBCUR27,https://company.org/resource/Enbridge%20Inc.
THE KRAFT HEINZ COMPANY,https://rdf.gleif.org/L1/L-9845007488EC87F5AF14,https://company.org/resource/The%20Kraft%20Heinz%20Company
"CARMAX, INC.",https://rdf.gleif.org/L1/L-529900F60CID3NCZM330,https://company.org/resource/CarMax%2C%20Inc.
THE ALLSTATE CORPORATION,https://rdf.gleif.org/L1/L-OBT0W1ED8G0NWVOLOJ77,https://company.org/resource/The%20Allstate%20Corporation
PACCAR INC,https://rdf.gleif.org/L1/L-KDTEY8BWE486IKZ3CC07,https://company.org/resource/Paccar%20Inc
KEURIG DR PEPPER INC.,https://rdf.gleif.org/L1/L-DYTQ8KRTKO7Y2BVU5K74,https://company.org/resource/Keurig%20Dr%20Pepper%20Inc.
ECOLAB INC.,https://rdf.gleif.org/L1/L-82DYEISM090VG8LTLS26,https://company.org/resource/Ecolab%20Inc.
JONES LANG LASALLE INCORPORATED,https://rdf.gleif.org/L1/L-6SYKCME112RT8TQUO411,https://company.org/resource/Jones%20Lang%20LaSalle%20Incorporated
JACOBS SOLUTIONS INDIA PRIVATE LIMITED,https://rdf.gleif.org/L1/L-335800U5AFBWDMRG5Z84,https://company.org/resource/Jacobs%20Solutions
"DARDEN RESTAURANTS, INC.",https://rdf.gleif.org/L1/L-CY1NFSCCB5GUXC7WZC70,https://company.org/resource/Darden%20Restaurants%2C%20Inc.
"CORNING FORD, INC.",https://rdf.gleif.org/L1/L-254900GRCZ3VXV95SO20,https://company.org/resource/Corning%20Inc.
"KEYSIGHT TECHNOLOGIES, INC.",https://rdf.gleif.org/L1/L-549300GLKVIO8YRCYN02,https://company.org/resource/Keysight%20Technologies%2C%20Inc.
Sun Life Financial Inc.,https://rdf.gleif.org/L1/L-549300V040JZX5S66Z78,https://company.org/resource/Sun%20Life
AGCO CORPORATION,https://rdf.gleif.org/L1/L-LYOM0B2GCF1JWXK5ZG04,https://company.org/resource/AGCO%20Corporation
KKR & CO. INC.,https://rdf.gleif.org/L1/L-54930013V5I303TF9571,https://company.org/resource/KKR%20%26%20Co.%20Inc.
Philip Morris International Inc.,https://rdf.gleif.org/L1/L-HL3H1H2BGXWVG3BSWR90,https://company.org/resource/Philip%20Morris%20International%20Inc.
MICROCHIP TECHNOLOGY INCORPORATED,https://rdf.gleif.org/L1/L-5493007PTFULNYZJ1R12,https://company.org/resource/Microchip%20Technology%20Incorporated
Caesars Entertainment Corporation,https://rdf.gleif.org/L1/L-529900CJT4VQO26ONP04,https://company.org/resource/Caesars%20Entertainment%20Corporation
AMGEN INC.,https://rdf.gleif.org/L1/L-62QBXGPJ34PQ72Z12S66,https://company.org/resource/Amgen%20Inc.
SEAGATE TECHNOLOGY HOLDINGS PUBLIC LIMITED COMPANY,https://rdf.gleif.org/L1/L-635400RUXIFEZSRU8X70,https://company.org/resource/Seagate%20Technology%20Holdings%20plc
"DOLLAR TREE, INC.",https://rdf.gleif.org/L1/L-549300PMSTQITB1WHR43,https://company.org/resource/Dollar%20Tree%2C%20Inc.
WHIRLPOOL CORPORATION,https://rdf.gleif.org/L1/L-WHENKOULSSK7WUM60H03,https://company.org/resource/Whirlpool%20Corporation
DOLLAR GENERAL CORPORATION,https://rdf.gleif.org/L1/L-OPX52SQVOZI8IVSWYU66,https://company.org/resource/Dollar%20General%20Corporation
"FORTINET, INC.",https://rdf.gleif.org/L1/L-549300O0QJWDBAS0QX03,https://company.org/resource/Fortinet%2C%20Inc.
LKQ CORPORATION,https://rdf.gleif.org/L1/L-DS830JTTZQN6GK0I2E41,https://company.org/resource/LKQ%20Corporation
ON SEMICONDUCTOR CORPORATION,https://rdf.gleif.org/L1/L-ZV20P4CNJVT8V1ZGJ064,https://company.org/resource/ON%20Semiconductor%20Corporation
Hormel Oy,https://rdf.gleif.org/L1/L-743700OCSGJV4ATFRP53,https://company.org/resource/Hormel
TELEDYNE TECHNOLOGIES INCORPORATED,https://rdf.gleif.org/L1/L-549300VSMO9KYQWDND94,https://company.org/resource/Teledyne%20Technologies
OCCIDENTAL PETROLEUM CORPORATION,https://rdf.gleif.org/L1/L-IM7X0T3ECJW4C1T7ON55,https://company.org/resource/Occidental%20Petroleum%20Corporation
"NETAPP, INC.",https://rdf.gleif.org/L1/L-QTX3D84DZDD5JYOCYH15,https://company.org/resource/NetApp%2C%20Inc.
"REINSURANCE GROUP OF AMERICA, INCORPORATED",https://rdf.gleif.org/L1/L-LORM1GNEU1DKEW527V90,https://company.org/resource/Reinsurance%20Group%20of%20America%2C%20Incorporated%20%28RGA%29
"C.H. Robinson Worldwide, Inc.",https://rdf.gleif.org/L1/L-529900WNWN5L0OVDHA79,https://company.org/resource/C.H.%20Robinson%20Worldwide%2C%20Inc.
GENUINE PARTS COMPANY,https://rdf.gleif.org/L1/L-549300D46DQVEU651W04,https://company.org/resource/Genuine%20Parts%20Company
"LEIDOS HOLDINGS, INC.",https://rdf.gleif.org/L1/L-549300IUTGTP6EJP8124,https://company.org/resource/Leidos%20Holdings%2C%20Inc.
Truist Financial Corporation,https://rdf.gleif.org/L1/L-549300DRQQI75D2JP341,https://company.org/resource/Truist%20Financial%20Corporation
INTUIT INC.,https://rdf.gleif.org/L1/L-VI90HBPH7XSFMB9E4M29,https://company.org/resource/Intuit%20Inc.
"ANALOG DEVICES, INC.",https://rdf.gleif.org/L1/L-GYVOE5EZ4GDAVTU4CQ61,https://company.org/resource/Analog%20Devices%2C%20Inc.
LENNAR CORPORATION,https://rdf.gleif.org/L1/L-529900G61XVRLX5TJX09,https://company.org/resource/Lennar%20Corporation
"PALO ALTO NETWORKS, INC.",https://rdf.gleif.org/L1/L-549300QXR2YVZV231H43,https://company.org/resource/Palo%20Alto%20Networks%2C%20Inc.
"WESCO INTERNATIONAL, INC.",https://rdf.gleif.org/L1/L-529900TXOGREY3WNJ434,https://company.org/resource/WESCO%20International
"AMERICAN AIRLINES, INC.",https://rdf.gleif.org/L1/L-IWUQB36BXD6OWD6X4T14,https://company.org/resource/American%20Airlines%20Group%20Inc.
"WORKDAY, INC.",https://rdf.gleif.org/L1/L-549300J0DYC0N31V7G13,https://company.org/resource/Workday%2C%20Inc.
PBF Energy Inc.,https://rdf.gleif.org/L1/L-2549003PBEDCSZMZIY02,https://company.org/resource/PBF%20Energy%20Inc.
DUKE ENERGY CORPORATION,https://rdf.gleif.org/L1/L-I1BZKREC126H0VB1BL91,https://company.org/resource/Duke%20Energy%20Corporation
"APPLIED MATERIALS, INC.",https://rdf.gleif.org/L1/L-41BNNE1AFPNAZELZ6K07,https://company.org/resource/Applied%20Materials%2C%20Inc.
JOHNSON CONTROLS INTERNATIONAL,https://rdf.gleif.org/L1/L-2138002MOUW7MFTDEF84,https://company.org/resource/Johnson%20Controls%20International
WESTROCK COMPANY,https://rdf.gleif.org/L1/L-5493004Z9TCQW68YVL89,https://company.org/resource/WestRock%20Company
